tweet_id,created_at,user,screen_name,account_type,text_raw,text_clean,text_for_llm,lang,is_french,contains_free,n_urls,n_mentions,n_emojis,hashtags,emo_anger,emo_sadness,emo_joy,emo_fear,emo_surprise,emo_trust,emo_disgust,emo_anticipation,top_emotions,is_urgent,urgency_hits,labels,primary_label,rule_hits,rag_context,text_display,created_at_dt
1343458257915031553,2020-12-28T07:26:23,m_annuel,m_annuel,Client,"💩 à @free parce-que Débit Très instable, … 

Free en France: vitesse, performances, pannes et commentaires des utilisateurs
👉 https://t.co/Yab5ES2gLh

#fing #internet #Free

via @fingapp @outagedetect","💩 à <BRAND:free> parce-que Débit Très instable, … <PARA> Free en France: vitesse, performances, pannes et commentaires des utilisateurs <NL> 👉 <URL> <PARA> #fing #internet #Free <PARA> via <BRAND:fingapp> <BRAND:outagedetect>","💩 à <BRAND:free> parce-que Débit Très instable, … <PARA> Free en France: vitesse, performances, pannes et commentaires des utilisateurs <NL> 👉 <URL> <PARA> #fing #internet #Free <PARA> via <BRAND:fingapp> <BRAND:outagedetect>

[Contexte KB]
On active une analyse rapide. Nous sommes désolés pour cette situation inacceptable. Transmettez-nous votre identifiant client en message privé, svp.",,True,True,1,3,0,"['fing', 'internet', 'Free']",0,0,0,0,0,0,0,0,[],0,[],['Reseau/Internet'],Reseau/Internet,"{'Reseau/Internet': ['debit', 'internet']}","On active une analyse rapide. Nous sommes désolés pour cette situation inacceptable. Transmettez-nous votre identifiant client en message privé, svp.","💩 à <BRAND:free> parce-que Débit Très instable, … <PARA> Free en France: vitesse, performances, pannes et commentaires des utilisateurs <NL> 👉 <URL> <PARA> #fing #internet #Free <PARA> via <BRAND:fingapp> <BRAND:outagedetect>",2020-12-28 07:26:23
1694675653205860558,2023-08-24T11:38:55,jnbarrot,jnbarrot,Client,"Dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle. J'étais ce matin aux côtés d'Idriss, formateur au centre de formation technique @free à Argenteuil, dans le Val-d'Oise. https://t.co/nKKA40veRw","Dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle. J'étais ce matin aux côtés d'Idriss, formateur au centre de formation technique <BRAND:free> à Argenteuil, dans le Val-d'Oise. <URL>","Dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle. J'étais ce matin aux côtés d'Idriss, formateur au centre de formation technique <BRAND:free> à Argenteuil, dans le Val-d'Oise. <URL>

[Contexte KB]
Navrés pour la gêne occasionnée. Nous comprenons votre frustration concernant la réseau local réseau en Côte d'Armor. Nous travaillons constamment à l'amélioration de notre réseau. Vous pouvez examiner les zones couvertes et les évolutions prévues sur notre site ou via l'appli Free Mobile. Merci pou",,True,True,1,1,0,[],0,0,0,0,0,0,0,0,[],0,[],['Reseau/Internet'],Reseau/Internet,{'Reseau/Internet': ['fibre']},Navrés pour la gêne occasionnée. Nous comprenons votre frustration concernant la réseau local réseau en Côte d'Armor. Nous travaillons constamment à l'amélioration de notre réseau. Vous pouvez examiner les zones couvertes et les évolutions prévues sur notre site ou via l'appli Free Mobile. Merci pou,"Dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle. J'étais ce matin aux côtés d'Idriss, formateur au centre de formation technique <BRAND:free> à Argenteuil, dans le Val-d'Oise. <URL>",2023-08-24 11:38:55
1695912123824546156,2023-08-27T21:32:13,rgaidot,rgaidot,Client,"Hello @free, @Freebox et @orange je crois que nous allons avoir prochainement un gros problème de fibre / PBOE https://t.co/IreryVRyFc","Hello <BRAND:free>, <BRAND:freebox> et <USER> je crois que nous allons avoir prochainement un gros problème de fibre / PBOE <URL>","Hello <BRAND:free>, <BRAND:freebox> et <USER> je crois que nous allons avoir prochainement un gros problème de fibre / PBOE <URL>

[Contexte KB]
On vérifie les paramètres de ligne. Bonjour, vous pouvez nous envoyer un message privé ici même pour que nous puissions vous aider. 😊. Pouvez-vous nous écrire en message privé avec votre identifiant client?",,True,True,1,3,0,[],0,0,0,0,0,0,0,0,[],0,[],"['Reseau/Internet', 'Box/TV']",Reseau/Internet,"{'Reseau/Internet': ['fibre'], 'Box/TV': ['freebox']}","On vérifie les paramètres de ligne. Bonjour, vous pouvez nous envoyer un message privé ici même pour que nous puissions vous aider. 😊. Pouvez-vous nous écrire en message privé avec votre identifiant client?","Hello <BRAND:free>, <BRAND:freebox> et <USER> je crois que nous allons avoir prochainement un gros problème de fibre / PBOE <URL>",2023-08-27 21:32:13
1709659172361404776,2023-10-04T19:58:05,EllaVerite,EllaVerite,Client,"Bonsoir @WavemakerFR, je suis chez @free et voici ma bande passante #Freebox ⤵️
Vous allez pouvoir vous moquer d'eux dans votre prochain spot publicitaire @reef_telecom

@Freebox @FreePro @GroupeIliad @Xavier75 🤡 https://t.co/f2CDpSoXJF","Bonsoir <USER>, je suis chez <BRAND:free> et voici ma bande passante #Freebox ⤵️ <NL> Vous allez pouvoir vous moquer d'eux dans votre prochain spot publicitaire <USER> <PARA> <BRAND:freebox> <USER> <USER> <USER> 🤡 <URL>","Bonsoir <USER>, je suis chez <BRAND:free> et voici ma bande passante #Freebox ⤵️ <NL> Vous allez pouvoir vous moquer d'eux dans votre prochain spot publicitaire <USER> <PARA> <BRAND:freebox> <USER> <USER> <USER> 🤡 <URL>

[Contexte KB]
Bonne nouvelle, on s’en occupe rapidement. Merci pour votre retour positif! Nous sommes ravis que l'installation se soit bien passée et que vous puissiez profiter pleinement de votre Freebox. Bon gaming! 😊. Transmettez-nous votre identifiant client en message privé, svp.",,True,True,1,7,0,['Freebox'],0,0,0,0,0,0,0,0,[],0,[],['Box/TV'],Box/TV,{'Box/TV': ['freebox']},"Bonne nouvelle, on s’en occupe rapidement. Merci pour votre retour positif! Nous sommes ravis que l'installation se soit bien passée et que vous puissiez profiter pleinement de votre Freebox. Bon gaming! 😊. Transmettez-nous votre identifiant client en message privé, svp.","Bonsoir <USER>, je suis chez <BRAND:free> et voici ma bande passante #Freebox ⤵️ <NL> Vous allez pouvoir vous moquer d'eux dans votre prochain spot publicitaire <USER> <PARA> <BRAND:freebox> <USER> <USER> <USER> 🤡 <URL>",2023-10-04 19:58:05
1711773973401235737,2023-10-10T16:01:33,michfrapp,michfrapp,Client,"@free @Xavier75 @NThomas82Free 

En 3 ans l’équipe technique de Free (le « BOC » m’a t’on dit) n’est pas capable d’amener 3 mètres (ou moins!) de câble Fibre, afin que j’ai la fibre (cercle rouge) comme mes voisines dont nos maisons sont mitoyennes (cercles verts). Satisfaisant?! https://t.co/Z1Wn4nhGmu","<BRAND:free> <USER> <USER> <PARA> En 3 ans l’équipe technique de Free (le « BOC » m’a t’on dit) n’est pas capable d’amener 3 mètres (ou moins!) de câble Fibre, afin que j’ai la fibre (cercle rouge) comme mes voisines dont nos maisons sont mitoyennes (cercles verts). Satisfaisant?! <URL>","<BRAND:free> <USER> <USER> <PARA> En 3 ans l’équipe technique de Free (le « BOC » m’a t’on dit) n’est pas capable d’amener 3 mètres (ou moins!) de câble Fibre, afin que j’ai la fibre (cercle rouge) comme mes voisines dont nos maisons sont mitoyennes (cercles verts). Satisfaisant?! <URL>

[Contexte KB]
Merci pour l’alerte — on va régler ça. Nous sommes sincèrement désolés pour ce contretemps et la réponse qui vous a été apportée, ce n'est pas acceptable. Nous allons immédiatement examiner ce qui s'est passé et revenir vers vous en MP pour vous proposer une solution adaptée. (thème: [""['Reseau/Inte",,True,True,1,3,0,[],0,0,0,0,0,0,0,0,[],0,[],['Reseau/Internet'],Reseau/Internet,{'Reseau/Internet': ['fibre']},"Merci pour l’alerte — on va régler ça. Nous sommes sincèrement désolés pour ce contretemps et la réponse qui vous a été apportée, ce n'est pas acceptable. Nous allons immédiatement examiner ce qui s'est passé et revenir vers vous en MP pour vous proposer une solution adaptée. (thème: [""['Reseau/Inte","<BRAND:free> <USER> <USER> <PARA> En 3 ans l’équipe technique de Free (le « BOC » m’a t’on dit) n’est pas capable d’amener 3 mètres (ou moins!) de câble Fibre, afin que j’ai la fibre (cercle rouge) comme mes voisines dont nos maisons sont mitoyennes (cercles verts). Satisfaisant?! <URL>",2023-10-10 16:01:33
1759266279620247842,2024-02-18T17:19:01,TomReynaud1789,TomReynaud1789,Client,".@free a 25 ans et tient toujours ses promesses en terme de pouvoir d’achat et d’innovation. 3 quinquennats sans toucher aux prix de nos forfaits mobiles, voilà une promesse à laquelle les français peuvent croire🇫🇷🙏🔥",".<BRAND:free> a 25 ans et tient toujours ses promesses en terme de pouvoir d’achat et d’innovation. 3 quinquennats sans toucher aux prix de nos forfaits mobiles, voilà une promesse à laquelle les français peuvent croire🇫🇷🙏🔥",".<BRAND:free> a 25 ans et tient toujours ses promesses en terme de pouvoir d’achat et d’innovation. 3 quinquennats sans toucher aux prix de nos forfaits mobiles, voilà une promesse à laquelle les français peuvent croire🇫🇷🙏🔥

[Contexte KB]
Navrés pour la gêne occasionnée. Bonjour, nous sommes désolés pour ces désagréments récurrents. Nous allons détailler les étapes et suivre l’avancement avec vous. Envoyez un DM avec code postal + modèle d’équipement.",,True,True,0,1,0,[],0,0,0,0,0,0,0,0,[],0,[],['Commercial/Offre'],Commercial/Offre,{'Commercial/Offre': ['prix']},"Navrés pour la gêne occasionnée. Bonjour, nous sommes désolés pour ces désagréments récurrents. Nous allons détailler les étapes et suivre l’avancement avec vous. Envoyez un DM avec code postal + modèle d’équipement.",".<BRAND:free> a 25 ans et tient toujours ses promesses en terme de pouvoir d’achat et d’innovation. 3 quinquennats sans toucher aux prix de nos forfaits mobiles, voilà une promesse à laquelle les français peuvent croire🇫🇷🙏🔥",2024-02-18 17:19:01
1762571081402011959,2024-02-27T20:11:07,nephthys,nephthys,Client,Ça fonctionne super bien la Fibre Free ce soir... Franchement c'est abusé. Déjà l'autre soir la TV de Free (OQEE) était carrément indisponible ! #FTTH #fibre #Free #Var @Freebox @Free_1337 @free https://t.co/UwrutxJMD9,Ça fonctionne super bien la Fibre Free ce soir... Franchement c'est abusé. Déjà l'autre soir la TV de Free (OQEE) était carrément indisponible ! #FTTH #fibre #Free #Var <BRAND:freebox> <USER> <BRAND:free> <URL>,"Ça fonctionne super bien la Fibre Free ce soir... Franchement c'est abusé. Déjà l'autre soir la TV de Free (OQEE) était carrément indisponible ! #FTTH #fibre #Free #Var <BRAND:freebox> <USER> <BRAND:free> <URL>

[Contexte KB]
On analyse les derniers logs côté service. Bonjour, merci pour votre message! Pour le moment, il est nécessaire que votre première offre soit active avant de commander une deuxième Freebox Multi-TV. Nou... Transmettez-nous votre identifiant client en message privé, svp.",,True,True,1,3,0,"['FTTH', 'fibre', 'Free', 'Var']",0,0,1,0,0,0,0,0,['joy'],0,[],"['Reseau/Internet', 'Box/TV']",Box/TV,"{'Reseau/Internet': ['fibre'], 'Box/TV': ['tv', 'oqee', 'freebox']}","On analyse les derniers logs côté service. Bonjour, merci pour votre message! Pour le moment, il est nécessaire que votre première offre soit active avant de commander une deuxième Freebox Multi-TV. Nou... Transmettez-nous votre identifiant client en message privé, svp.",Ça fonctionne super bien la Fibre Free ce soir... Franchement c'est abusé. Déjà l'autre soir la TV de Free (OQEE) était carrément indisponible ! #FTTH #fibre #Free #Var <BRAND:freebox> <USER> <BRAND:free> <URL>,2024-02-27 20:11:07
1811040987365421110,2024-07-10T14:13:13,FrenchTea13,FrenchTea13,Client,"@Xavier75 et tout le réseau @Freebox sachez qu'une main courante va être déposée, et ira plus loin s'il le faut.
6 appels en 24h avec 6 numéros différents quand je demande de retirer mon numéro de vos bases de données c'est du harcèlement.
Vos forfaits de merde j'en veux pas.","<USER> et tout le réseau <BRAND:freebox> sachez qu'une main courante va être déposée, et ira plus loin s'il le faut. <NL> 6 appels en 24h avec 6 numéros différents quand je demande de retirer mon numéro de vos bases de données c'est du harcèlement. <NL> Vos forfaits de merde j'en veux pas.","<USER> et tout le réseau <BRAND:freebox> sachez qu'une main courante va être déposée, et ira plus loin s'il le faut. <NL> 6 appels en 24h avec 6 numéros différents quand je demande de retirer mon numéro de vos bases de données c'est du harcèlement. <NL> Vos forfaits de merde j'en veux pas.

[Contexte KB]
Merci pour l’alerte — on va régler ça. Bonjour, nous sommes désolés pour cette désagrément. Pouvez-vous nous préciser si votre Freebox est éteinte ou si vous avez un message d'erreur? Nous allons es... (thème: []). Envoyez-nous votre n° client en DM pour vérification.",,True,True,0,2,0,[],0,0,0,0,0,0,1,0,['disgust'],0,[],"['Reseau/Internet', 'Box/TV']",Reseau/Internet,"{'Reseau/Internet': ['reseau'], 'Box/TV': ['freebox']}","Merci pour l’alerte — on va régler ça. Bonjour, nous sommes désolés pour cette désagrément. Pouvez-vous nous préciser si votre Freebox est éteinte ou si vous avez un message d'erreur? Nous allons es... (thème: []). Envoyez-nous votre n° client en DM pour vérification.","<USER> et tout le réseau <BRAND:freebox> sachez qu'une main courante va être déposée, et ira plus loin s'il le faut. <NL> 6 appels en 24h avec 6 numéros différents quand je demande de retirer mon numéro de vos bases de données c'est du harcèlement. <NL> Vos forfaits de merde j'en veux pas.",2024-07-10 14:13:13
1812874502642049501,2024-07-15T15:38:57,Tubbydev,Tubbydev,Client,"@free @Xavier75 Installer la fibre sans autorisation du propriétaire et en perçant de partout, c'est normal ?","<BRAND:free> <USER> Installer la fibre sans autorisation du propriétaire et en perçant de partout, c'est normal ?","<BRAND:free> <USER> Installer la fibre sans autorisation du propriétaire et en perçant de partout, c'est normal ?

[Contexte KB]
On active une analyse rapide. Bonjour, pour récupérer votre mot de passe Free Foot, vous pouvez utiliser l'option 'Mot de passe oublié' sur la page de connexion ou contacter notre service cl... Pouvez-vous nous confirmer votre numéro de ligne ou identifiant client en MP pour que nous analysions la s",,True,True,0,2,0,[],0,0,0,0,0,0,0,0,[],0,[],['Reseau/Internet'],Reseau/Internet,{'Reseau/Internet': ['fibre']},"On active une analyse rapide. Bonjour, pour récupérer votre mot de passe Free Foot, vous pouvez utiliser l'option 'Mot de passe oublié' sur la page de connexion ou contacter notre service cl... Pouvez-vous nous confirmer votre numéro de ligne ou identifiant client en MP pour que nous analysions la s","<BRAND:free> <USER> Installer la fibre sans autorisation du propriétaire et en perçant de partout, c'est normal ?",2024-07-15 15:38:57
1813254932449140912,2024-07-16T16:50:39,Ben29072013,Ben29072013,Client,@free 13 minutes 13 sec!!!!! c'est le temps ENCOREEEEE UNE FOIS PERDU à attendre après free pour résoudre un problème récurent !! INCOMPÉTENCE !!!! Ils ne répondent jamais!!!!! https://t.co/2FdeQbWjHg,<BRAND:free> 13 minutes 13 sec!!!!! c'est le temps ENCOREE UNE FOIS PERDU à attendre après free pour résoudre un problème récurent !! INCOMPÉTENCE !!!! Ils ne répondent jamais!!!!! <URL>,"<BRAND:free> 13 minutes 13 sec!!!!! c'est le temps ENCOREE UNE FOIS PERDU à attendre après free pour résoudre un problème récurent !! INCOMPÉTENCE !!!! Ils ne répondent jamais!!!!! <URL>

[Contexte KB]
Merci pour votre retour. Bonjour, nous sommes désolés pour cette incident sur votre boîte mail. Nos équipes travaillent activement pour rétablir le service. Nous n'avons pas encore d'es... (thème: []). Pouvez-vous nous transmettre votre numéro de ligne ou identifiant client en message privé pour que",,True,True,1,1,0,[],0,0,0,0,0,0,0,0,[],0,[],[],Autre/Indéterminé,{},"Merci pour votre retour. Bonjour, nous sommes désolés pour cette incident sur votre boîte mail. Nos équipes travaillent activement pour rétablir le service. Nous n'avons pas encore d'es... (thème: []). Pouvez-vous nous transmettre votre numéro de ligne ou identifiant client en message privé pour que",<BRAND:free> 13 minutes 13 sec!!!!! c'est le temps ENCOREE UNE FOIS PERDU à attendre après free pour résoudre un problème récurent !! INCOMPÉTENCE !!!! Ils ne répondent jamais!!!!! <URL>,2024-07-16 16:50:39
